,precision,recall,f1-score,support
Healthy,0.7521367521367521,0.88,0.8110599078341014,100.0
Mild DR,0.0,0.0,0.0,37.0
Moderate DR,0.4810126582278481,0.8444444444444444,0.6129032258064516,90.0
Proliferate DR,0.0,0.0,0.0,29.0
Severe DR,0.0,0.0,0.0,19.0
accuracy,0.5963636363636363,0.5963636363636363,0.5963636363636363,0.5963636363636363
macro avg,0.24662988207292003,0.3448888888888889,0.28479262672811057,275.0
weighted avg,0.4309265980152056,0.5963636363636363,0.49551738583996646,275.0
