,precision,recall,f1-score,support
Healthy,0.9150943396226415,0.97,0.9417475728155339,100.0
Mild DR,0.7272727272727273,0.21621621621621623,0.33333333333333337,37.0
Moderate DR,0.5189873417721519,0.9111111111111111,0.6612903225806451,90.0
Proliferate DR,0.0,0.0,0.0,29.0
Severe DR,0.0,0.0,0.0,19.0
accuracy,0.68,0.68,0.68,0.68
macro avg,0.4322708817335042,0.4194654654654655,0.3872742457459025,275.0
weighted avg,0.6004632204758136,0.68,0.6037244350805264,275.0
