,precision,recall,f1-score,support
Healthy,0.8672566371681416,0.98,0.9201877934272301,100.0
Mild DR,0.5,0.7027027027027027,0.5842696629213484,37.0
Moderate DR,0.6181818181818182,0.7555555555555555,0.6799999999999999,90.0
Proliferate DR,0.0,0.0,0.0,29.0
Severe DR,0.0,0.0,0.0,19.0
accuracy,0.6981818181818182,0.6981818181818182,0.6981818181818182,0.6981818181818182
macro avg,0.397087691069992,0.48765165165165164,0.4368914912697157,275.0
weighted avg,0.5849528267388283,0.6981818181818182,0.6357700249847742,275.0
