,precision,recall,f1-score,support
Healthy,0.734375,0.94,0.8245614035087719,100.0
Mild DR,0.0,0.0,0.0,37.0
Moderate DR,0.4897959183673469,0.8,0.6075949367088609,90.0
Proliferate DR,0.0,0.0,0.0,29.0
Severe DR,0.0,0.0,0.0,19.0
accuracy,0.6036363636363636,0.6036363636363636,0.6036363636363636,0.6036363636363636
macro avg,0.2448341836734694,0.348,0.28643126804352653,275.0
weighted avg,0.42734230055658623,0.6036363636363636,0.4986897623806352,275.0
