,precision,recall,f1-score,support
Healthy,0.9504950495049505,0.96,0.9552238805970149,100.0
Mild DR,0.6923076923076923,0.24324324324324326,0.36000000000000004,37.0
Moderate DR,0.5279503105590062,0.9444444444444444,0.6772908366533865,90.0
Proliferate DR,0.0,0.0,0.0,29.0
Severe DR,0.0,0.0,0.0,19.0
accuracy,0.6909090909090909,0.6909090909090909,0.6909090909090909,0.6909090909090909
macro avg,0.43415061047432973,0.42953753753753754,0.3985029434500803,275.0
weighted avg,0.6115651546043281,0.6909090909090909,0.6174493213036591,275.0
