,precision,recall,f1-score,support
Healthy,0.8660714285714286,0.97,0.9150943396226415,100.0
Mild DR,0.8333333333333334,0.2702702702702703,0.4081632653061225,37.0
Moderate DR,0.5369127516778524,0.8888888888888888,0.6694560669456066,90.0
Proliferate DR,0.0,0.0,0.0,29.0
Severe DR,0.5,0.05263157894736842,0.09523809523809525,19.0
accuracy,0.6836363636363636,0.6836363636363636,0.6836363636363636,0.6836363636363636
macro avg,0.5472635027165229,0.43635814762130554,0.4175903534224932,275.0
weighted avg,0.6373186321508469,0.6836363636363636,0.6133528895026148,275.0
