,precision,recall,f1-score,support
Healthy,0.7795275590551181,0.99,0.8722466960352423,100.0
Mild DR,0.0,0.0,0.0,37.0
Moderate DR,0.5067567567567568,0.8333333333333334,0.6302521008403362,90.0
Proliferate DR,0.0,0.0,0.0,29.0
Severe DR,0.0,0.0,0.0,19.0
accuracy,0.6327272727272727,0.6327272727272727,0.6327272727272727,0.6327272727272727
macro avg,0.25725686316237495,0.36466666666666664,0.3004997593751157,275.0
weighted avg,0.4493122327767997,0.6327272727272727,0.5234449406514708,275.0
